v2Code,Matrix,Analyte,Analyte Code,Extraction Name,Extraction Name Code,Extraction reagents/formulation,Extraction Ratio (Soil:Extractant),Extraction Basis,Extraction Time,Analyte Measurement,Analyte Measurement Code,Observation Category,Reporting Unit,Reporting Unit Code,Acceptance,Status,Organization,Citation
L_MODV2_SOIL_K_045,SOIL,potassium,K,Truog,TRUOG,"Truog, 0.002N H2S04 buffered with NH4HS04, pH 3.0",0.180555556,m/v,30 min,ICP-OES / AAS,ICP-OES_AAS,MEASURED,mg/kg,mg1kg-1,PROVISIONAL,VALID,,
L_MODV2_SOIL_K_046,SOIL,potassium,K,"Truog, Modified",TRUOG_MODIFIED,"Modified Truog, 0.001N H2S04 buffered with 3% NH4HS04, pH 3.0",0.111111111,m/v,30 min,ICP-OES / AAS,ICP-OES_AAS,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,VALID,,
L_MODV2_SOIL_K_047,SOIL,potassium,K,Slurry,SLURRY,Dionized Water,5:01,,,ICP,ICP,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_K_048,SOIL,potassium,K,,,,,,,Calculation,CALCULATION,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_K_049,SOIL,potassium ,K,Aqua Regia,AQUA_REGIA,Aqua Regia (3:1 mixture of hydrochloric (HCl) and nitric (HNO3) acids),1:10,m/v,20 min,ICP-OES / ICP-MS,ICP-OES_ICP-MS,MEASURED,mg/kg,mg1kg-1,PROVISIONAL,VALID,ISO,ISO standard 11466 or EPA 3051A
L_MODV2_SOIL_K_050,SOIL,potassium ,K,EPA 3050,EPA_3050,"EPA 3050 Digestion (Nitric Acid, Hydrogen Peroxide), EPA 6010B Determination (ICP-OES)",1:15 (varies),m/v,"Heat to 95C, reflux for 15 minutes, cool, then add 5 mL HNO3 and reflux for 30 minutes. Repeat last step as required.",ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,"U.S. EPA. 1996. “Method 3050B: Acid Digestion of Sediments, Sludges, and Soils,” Revision 2. Washington, DC. / EPA Method 3050B (SW-846): Acid Digestion of Sediments, Sludges, and Soils, 1996."
L_MODV2_SOIL_KFF_001,SOIL,potassium fixation factor,KFF,Mehlich 3 ,MEHLICH_3,Mehlich 3 (calculated Potassium Fixation Factor),Calculation,Calculation,Calculation,Calculation,CALCULATION,MEASURED,%,prcnt,EXPERIMENTAL,VALID,,
L_MODV2_SOIL_KFF_002,SOIL,potassium fixation factor,KFF,Mehlich 3 ,MEHLICH_3,Mehlich 3 (calculated Potassium Fixation Factor),Calculation,Calculation,Calculation,Calculation,CALCULATION,MEASURED,%,prcnt,EXPERIMENTAL,VALID,,
L_MODV2_SOIL_KFF_003,SOIL,potassium fixation factor,KFF,Mehlich 3 ,MEHLICH_3,Mehlich 3 (calculated Potassium Fixation Factor),Calculation,Calculation,Calculation,Calculation,CALCULATION,MEASURED,%,prcnt,EXPERIMENTAL,VALID,,
L_MODV2_SOIL_PINDEX_001,SOIL,potassium index,PINDEX,Mehlich 3 ,MEHLICH_3,,,,,Calculation,CALCULATION,CALCULATION,None,none,EXPERIMENTAL,INVALID,,
L_MODV2_SOIL_PINDEX_002,SOIL,potassium index,PINDEX,Mehlich 3 ICP,MEHLICH_3_ICP,,,,,"ICP, AAS",ICP_AAS,CALCULATION,None,none,EXPERIMENTAL,INVALID,,
L_MODV2_SOIL_KINDEX_001,SOIL,potassium index,KINDEX,Mehlich 3 ,MEHLICH_3,,,,,Calculation,CALCULATION,CALCULATION,None,none,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_KINDEX_002,SOIL,potassium index,KINDEX,Mehlich 3 ICP,MEHLICH_3_ICP,,,,,"ICP, AAS",ICP_AAS,CALCULATION,None,none,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_TK_001,SOIL,"potassium, total ",TK,Kjeldahl,KJELDAHL,18 M H2SO4,,,,,,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,VALID,,
L_MODV2_SOIL_TK_002,SOIL,"potassium, total ",TK,Kjeldahl,KJELDAHL,18 M H2SO4,,,,,,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,VALID,,
L_MODV2_SOIL_TK_003,SOIL,"potassium, total ",TK,Nitric Acid,NITRIC_ACID,Nitric Acid,,,,,,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,VALID,,
L_MODV2_SOIL_POTMN_001,SOIL,potential mineralizable nitrogen,POTMN,Permanganate Mineralizable Nitrogen ,PERMANGANATE_MINERALIZABLE_NITROGEN,,,,,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,INVALID,,
L_MODV2_SOIL_POTMN_002,SOIL,potential mineralizable nitrogen,POTMN,Permanganate Mineralizable Nitrogen ,PERMANGANATE_MINERALIZABLE_NITROGEN,,,,,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_POTMN_003,SOIL,potential mineralizable nitrogen,POTMN,Potassium Chloride,POTASSIUM_CHLORIDE,2.0 M KCl,3:25,m/v,16 hrs,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,ASPAC,"Rayment, G. and J. Lyons. 2011. Soil Chemical Methods - Australasia, CSIRO, Method 7d, pp 134-140"
L_MODV2_SOIL_POTOXC_001,SOIL,potential oxidizable carbon,POTOXC,"Permanganate, Oxidizable Carbon ",PERMANGANATE_OXIDIZABLE_CARBON,,,,,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_POTMN_001,SOIL,potentially mineralizable nitrogen (PMN),POTMN,Potassium Chloride,POTASSIUM_CHLORIDE,2.0 M KCl,3:25,m/v,16 hrs,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,OFFICIAL,INVALID,ASPAC,"Rayment, G. and J. Lyons. 2011. Soil Chemical Methods - Australasia, CSIRO, Method 7d, pp 134-140"
L_MODV2_SOIL_SREF_001,SOIL,reflectance,SREF,Reflectance,REFLECTANCE,Diffuse reflectance spectroscopy,1:10,m/v,,Reflectance,REFLECTANCE,MEASURED,%,prcnt,OFFICIAL,VALID,Soil Health Institute,"Veum, et al., 2015"
L_MODV2_SOIL_RZM_001,SOIL,rootzone moisture,RZM,"Drying, Depth & Bulk Density",DRYING_DEPTH_AND_BULK_DENSITY,,,,,Gravimetric,GRAVIMETRIC,MEASURED,%,prcnt,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_SAND_001,SOIL,sand,SAND,Sodium Hexametaphosphate Solution / Electrical Mixer,SODIUM_HEXAMETAPHOSPHATE_SOLUTION_ELECTRICAL_MIXER,Dispersion / Sieve / Weigh,1:20 (varies),m/m, ,Gravimetric,GRAVIMETRIC,CALCULATION,%,prcnt,OFFICIAL,VALID,SSSA,"Methods of Soil Analysis: Part 4 Physical Methods, 5.4.  Gee and Or, 2002.  Chapter 2.4. Particle-Size Analysis, pages 265-269."
L_MODV2_SOIL_SAND_002,SOIL,sand,SAND,Sodium Hexametaphosphate Solution / Electrical Mixer,SODIUM_HEXAMETAPHOSPHATE_SOLUTION_ELECTRICAL_MIXER,Dispersion / Laser Diffraction,1:20 (varies),m/m,5 min,Diffraction,DIFFRACTION,MEASURED,%,prcnt,PROVISIONAL,VALID,SSSA,"Methods of Soil Analysis: Part 4 Physical Methods, 5.4.  Gee and Or, 2002.  Chapter 2.4. Particle-Size Analysis, pages 286-288."
L_MODV2_SOIL_SAND_003,SOIL,sand,SAND,Sodium Hexametaphosphate Solution / Electrical Mixer,SODIUM_HEXAMETAPHOSPHATE_SOLUTION_ELECTRICAL_MIXER,Dispersion / Sedimentation / Hydrometer,1:20 (varies),m/m,5 min,Hydrometer,HYDROMETER,MEASURED,%,prcnt,OFFICIAL,VALID,SSSA,"Methods of Soil Analysis: Part 4 Physical Methods, 5.4.  Gee and Or, 2002.  Chapter 2.4. Particle-Size Analysis, pages 278-283."
L_MODV2_SOIL_SAND_004,SOIL,sand,SAND,Sodium Hexametaphosphate Solution / Electrical Mixer,SODIUM_HEXAMETAPHOSPHATE_SOLUTION_ELECTRICAL_MIXER,Dispersion / Sieve / Weigh,1:20 (varies),m/m,5 min,Gravimetric,GRAVIMETRIC,MEASURED,%,prcnt,OFFICIAL,VALID,SSSA,"Methods of Soil Analysis: Part 4 Physical Methods, 5.4.  Gee and Or, 2002.  Chapter 2.4. Particle-Size Analysis, pages 272-278."
L_MODV2_SOIL_SANDC_001,SOIL,sand - coarse,SANDC,Sodium Hexametaphosphate Solution / Electrical Mixer,SODIUM_HEXAMETAPHOSPHATE_SOLUTION_ELECTRICAL_MIXER,Dispersion / Sieve / Weigh,1:20 (varies),m/m,,Gravimetric,GRAVIMETRIC,CALCULATION,%,prcnt,OFFICIAL,VALID,SSSA,"Methods of Soil Analysis: Part 4 Physical Methods, 5.4.  Gee and Or, 2002.  Chapter 2.4. Particle-Size Analysis, pages 265-269."
L_MODV2_SOIL_SANDC_002,SOIL,sand - coarse,SANDC,Sodium Hexametaphosphate Solution / Electrical Mixer,SODIUM_HEXAMETAPHOSPHATE_SOLUTION_ELECTRICAL_MIXER,Dispersion / Sieve / Weigh,1:20 (varies),m/m,,Gravimetric,GRAVIMETRIC,CALCULATION,%,prcnt,OFFICIAL,VALID,SSSA,"Methods of Soil Analysis: Part 4 Physical Methods, 5.4.  Gee and Or, 2002.  Chapter 2.4. Particle-Size Analysis, pages 265-269."
L_MODV2_SOIL_SANDC_003,SOIL,sand - coarse,SANDC,Sodium Hexametaphosphate Solution / Electrical Mixer,SODIUM_HEXAMETAPHOSPHATE_SOLUTION_ELECTRICAL_MIXER,Dispersion / Sieve / Weigh,1:20 (varies),m/m,,Gravimetric,GRAVIMETRIC,CALCULATION,%,prcnt,OFFICIAL,VALID,SSSA,"Methods of Soil Analysis: Part 4 Physical Methods, 5.4.  Gee and Or, 2002.  Chapter 2.4. Particle-Size Analysis, pages 265-269."
L_MODV2_SOIL_SANDC_004,SOIL,sand - coarse,SANDC,Sodium Hexametaphosphate Solution / Electrical Mixer,SODIUM_HEXAMETAPHOSPHATE_SOLUTION_ELECTRICAL_MIXER,"Dispersion / Sieve / Weigh, 500 - 1000 um",1:20 (varies),m/m,120 min,Gravimetric,GRAVIMETRIC,MEASURED,%,prcnt,OFFICIAL,VALID,ASTM,ASTM D-2487 Classification of Soils for Engineering Purposes (United Soil Classification System)
L_MODV2_SOIL_SANDF_001,SOIL,sand - fine,SANDF,Sodium Hexametaphosphate Solution / Electrical Mixer,SODIUM_HEXAMETAPHOSPHATE_SOLUTION_ELECTRICAL_MIXER,Dispersion / Sieve / Weigh,1:20 (varies),m/m,,Gravimetric,GRAVIMETRIC,CALCULATION,%,prcnt,OFFICIAL,VALID,SSSA,"Methods of Soil Analysis: Part 4 Physical Methods, 5.4.  Gee and Or, 2002.  Chapter 2.4. Particle-Size Analysis, pages 265-269."
L_MODV2_SOIL_SANDF_002,SOIL,sand - fine,SANDF,Sodium Hexametaphosphate Solution / Electrical Mixer,SODIUM_HEXAMETAPHOSPHATE_SOLUTION_ELECTRICAL_MIXER,Dispersion / Sieve / Weigh,1:20 (varies),m/m,,Gravimetric,GRAVIMETRIC,CALCULATION,%,prcnt,OFFICIAL,VALID,SSSA,"Methods of Soil Analysis: Part 4 Physical Methods, 5.4.  Gee and Or, 2002.  Chapter 2.4. Particle-Size Analysis, pages 265-269."
L_MODV2_SOIL_SANDF_003,SOIL,sand - fine,SANDF,Sodium Hexametaphosphate Solution / Electrical Mixer,SODIUM_HEXAMETAPHOSPHATE_SOLUTION_ELECTRICAL_MIXER,Dispersion / Sieve / Weigh,1:20 (varies),m/m,,Gravimetric,GRAVIMETRIC,CALCULATION,%,prcnt,OFFICIAL,VALID,SSSA,"Methods of Soil Analysis: Part 4 Physical Methods, 5.4.  Gee and Or, 2002.  Chapter 2.4. Particle-Size Analysis, pages 265-269."
L_MODV2_SOIL_SANDF_004,SOIL,sand - fine,SANDF,Sodium Hexametaphosphate Solution / Electrical Mixer,SODIUM_HEXAMETAPHOSPHATE_SOLUTION_ELECTRICAL_MIXER,"Dispersion / Sieve / Weigh, 150 - 250 um",1:20 (varies),m/m,120 min,Gravimetric,GRAVIMETRIC,MEASURED,%,prcnt,OFFICIAL,VALID,ASTM,ASTM D-2487 Classification of Soils for Engineering Purposes (United Soil Classification System)
L_MODV2_SOIL_SANDM_001,SOIL,sand - medium,SANDM,Sodium Hexametaphosphate Solution / Electrical Mixer,SODIUM_HEXAMETAPHOSPHATE_SOLUTION_ELECTRICAL_MIXER,"Dispersion / Sieve / Weigh, 250 - 500 um",1:20 (varies),m/m,120 min,Gravimetric,GRAVIMETRIC,MEASURED,%,prcnt,OFFICIAL,VALID,ASTM,ASTM D-2487 Classification of Soils for Engineering Purposes (United Soil Classification System)
L_MODV2_SOIL_SANDVC_001,SOIL,sand - very coarse,SANDVC,Sodium Hexametaphosphate Solution / Electrical Mixer,SODIUM_HEXAMETAPHOSPHATE_SOLUTION_ELECTRICAL_MIXER,"Dispersion / Sieve / Weigh, 1000 - 2000 um",1:20 (varies),m/m,120 min,Gravimetric,GRAVIMETRIC,MEASURED,%,prcnt,OFFICIAL,VALID,ASTM,ASTM D-2487 Classification of Soils for Engineering Purposes (United Soil Classification System)
L_MODV2_SOIL_SANDVF_001,SOIL,sand - very fine,SANDVF,Sodium Hexametaphosphate Solution / Electrical Mixer,SODIUM_HEXAMETAPHOSPHATE_SOLUTION_ELECTRICAL_MIXER,"Dispersion / Sieve / Weigh, 50 - 150 um",1:20 (varies),m/m,120 min,Gravimetric,GRAVIMETRIC,MEASURED,%,prcnt,OFFICIAL,VALID,ASTM,ASTM D-2487 Classification of Soils for Engineering Purposes (United Soil Classification System)
L_MODV2_SOIL_SHC_001,SOIL,saturated hydraulic conductivity,SHC,Head Method,HEAD_METHOD,Two-ponding head method in field with Saturo™,Saturation,Saturation,Varies,Volume,VOLUME,MEASURED,cm/hr,cm1hr-1,OFFICIAL,VALID,Soil Health Institute,"Methods of Soil Analysis: Part 4 Physical Methods, 5.4.  Gee and Or, 2002.  Chapter 3.4.3.  Field Methods (Vadose and Saturated Zone Techniques), pages 817-843./ Saturo™ (https://www.metergroup.com/en/meter-environment/products/saturo-infiltrometer-field-saturated-hydraulic-conductivity)"
L_MODV2_SOIL_SATPP_001,SOIL,saturation paste %,SATPP,,,,,,,Calculation,CALCULATION,MEASURED,%,prcnt,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_SE_001,SOIL,selenium,SE,Aqua Regia,AQUA_REGIA,Aqua Regia (3:1 mixture of hydrochloric (HCl) and nitric (HNO3) acids),1:10,m/v,20 min,ICP-OES / ICP-MS,ICP-OES_ICP-MS,MEASURED,mg/kg,mg1kg-1,PROVISIONAL,VALID,ISO,ISO standard 11466 or EPA 3051A
L_MODV2_SOIL_SE_002,SOIL,selenium,SE,Calcium Chloride,CALCIUM_CHLORIDE,0.01 M CaCl2,1:10,m/v,120 min,ICP-MS,ICP-MS,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,WEPAL,"Houba, V.J.G.; Novozamsky, I.; Lexmond, T.M.; Van der Lee, J.J., 2008.  Applicability of 0.01 M CaCl2 as a single extraction solution for the assessment of the nutrient status of soils and other diagnostic purposes. Communications in Soil Science and Plant Analysis, Volume 21, 1990 - Issue 19-20."
L_MODV2_SOIL_SE_003,SOIL,selenium,SE,EPA 3050,EPA_3050,"EPA 3050 Digestion (Nitric Acid, Hydrogen Peroxide), EPA 6010B Determination (ICP-OES)",1:15 (varies),m/v,"Heat to 95C, reflux for 15 minutes, cool, then add 5 mL HNO3 and reflux for 30 minutes. Repeat last step as required.",ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,"U.S. EPA. 1996. “Method 3050B: Acid Digestion of Sediments, Sludges, and Soils,” Revision 2. Washington, DC. / EPA Method 3050B (SW-846): Acid Digestion of Sediments, Sludges, and Soils, 1996."
L_MODV2_SOIL_SE_004,SOIL,selenium,SE,Saturated paste,SATURATED_PASTE,"Soil saturated with DI water, subsequent extraction and retained for analysis",Saturated paste,m/m,4 hrs,ICP-OES / ICP-MS,ICP-OES_ICP-MS,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 4th Edition, 2013. Method S-15.1"
L_MODV2_SOIL_SE_005,SOIL,selenium,SE,EPA 3051A/B,EPA_3051A_B,"EPA 3051A/B Microwave Digestion (Nitric Acid, Hydrochloric Acid), EPA 6010B Determination (ICP-OES) ",1:10,,,,,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,"U.S. EPA. 1996. “Method 3050B: Acid Digestion of Sediments, Sludges, and Soils,” Revision 2. Washington, DC. / EPA Method 3050B (SW-846): Acid Digestion of Sediments, Sludges, and Soils, 1996."
L_MODV2_SOIL_SE_006,SOIL,selenium,SE,EPA 3052,EPA_3052,"EPA 3052 MIcrowave Digestion (Nitric Acid, Hydrofluoric Acid), EPA 6010B Determination (ICP-OES) ",1:10,,,,,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,"U.S. EPA. 1996. “Method 3050B: Acid Digestion of Sediments, Sludges, and Soils,” Revision 2. Washington, DC. / EPA Method 3050B (SW-846): Acid Digestion of Sediments, Sludges, and Soils, 1996."
L_MODV2_SOIL_STCM_001,SOIL,short-term carbon mineralization,STCM,Incubation,INCUBATION,1-day incubation followed by CO2-C evolution and capture at 50% water-filled pore space.,50% water-filled pore space,m/v,24 hrs,Electrical Conductivity,ELECTRICAL_CONDUCTIVITY,MEASURED,mg/kg,mg1kg-1,OFFICIAL,SUPERSEDED,Soil Health Institute,"Zibilske, 1994"
L_MODV2_SOIL_STCM_002,SOIL,short-term carbon mineralization,STCM,Incubation,INCUBATION,1-day incubation followed by CO2-C evolution and capture at 50% water-filled pore space.,50% water-filled pore space,m/v,24 hrs,Infrared gas analyzer( IRGA),IRGA,MEASURED,mg/kg,mg1kg-1,OFFICIAL,SUPERSEDED,Soil Health Institute,"Zibilske, 1994"
L_MODV2_SOIL_STCM_003,SOIL,short-term carbon mineralization,STCM,Incubation,INCUBATION,1-day incubation followed by CO2-C evolution and capture at 50% water-filled pore space.,50% water-filled pore space,m/v,24 hrs,Titration,TITRATION,MEASURED,mg/kg,mg1kg-1,OFFICIAL,SUPERSEDED,Soil Health Institute,"Zibilske, 1994"
L_MODV2_SOIL_STCM_004,SOIL,short-term carbon mineralization,STCM,Incubation,INCUBATION,1-day incubation followed by CO2-C evolution and capture at 50% water-filled pore space.,50% water-filled pore space,m/v,24 hrs,CO2 Paddle,CO2_PADDLE,MEASURED,mg/kg,mg1kg-1,PROVISIONAL,SUPERSEDED,Woods End Laboratories,Solvita Gel System; https://solvita.com/co2-burst/
L_MODV2_SOIL_STCM_005,SOIL,short-term carbon mineralization,STCM,Incubation,INCUBATION,3-day incubation followed by CO2-C evolution and capture at 50% water-filled pore space.,50% water-filled pore space,m/v,3 Days,Electrical Conductivity,ELECTRICAL_CONDUCTIVITY,MEASURED,mg/kg,mg1kg-1,OFFICIAL,SUPERSEDED,Soil Health Institute,"Zibilske, 1994"
L_MODV2_SOIL_STCM_006,SOIL,short-term carbon mineralization,STCM,Incubation,INCUBATION,3-day incubation followed by CO2-C evolution and capture at 50% water-filled pore space.,50% water-filled pore space,m/v,3 Days,Infrared gas analyzer( IRGA),IRGA,MEASURED,mg/kg,mg1kg-1,OFFICIAL,SUPERSEDED,Soil Health Institute,"Zibilske, 1994"
L_MODV2_SOIL_STCM_007,SOIL,short-term carbon mineralization,STCM,Incubation,INCUBATION,3-day incubation followed by CO2-C evolution and capture at 50% water-filled pore space.,50% water-filled pore space,m/v,3 Days,Titration,TITRATION,MEASURED,mg/kg,mg1kg-1,OFFICIAL,SUPERSEDED,Soil Health Institute,"Zibilske, 1994"
L_MODV2_SOIL_STCM_008,SOIL,short-term carbon mineralization,STCM,Incubation,INCUBATION,4-day incubation followed by CO2-C evolution and capture at 50% water-filled pore space.,50% water-filled pore space,m/v,4 Days,Electrical Conductivity,ELECTRICAL_CONDUCTIVITY,MEASURED,mg/kg,mg1kg-1,OFFICIAL,SUPERSEDED,Soil Health Institute,"Zibilske, 1994"
L_MODV2_SOIL_STCM_009,SOIL,short-term carbon mineralization,STCM,Incubation,INCUBATION,4-day incubation followed by CO2-C evolution and capture at 50% water-filled pore space.,50% water-filled pore space,m/v,4 Days,Infrared gas analyzer( IRGA),IRGA,MEASURED,mg/kg,mg1kg-1,OFFICIAL,SUPERSEDED,Soil Health Institute,"Zibilske, 1994"
L_MODV2_SOIL_STCM_010,SOIL,short-term carbon mineralization,STCM,Incubation,INCUBATION,4-day incubation followed by CO2-C evolution and capture at 50% water-filled pore space.,50% water-filled pore space,m/v,4 Days,Titration,TITRATION,MEASURED,mg/kg,mg1kg-1,OFFICIAL,SUPERSEDED,Soil Health Institute,"Zibilske, 1994"
L_MODV2_SOIL_STCM_011,SOIL,short-term carbon mineralization,STCM,Incubation,INCUBATION,7-day incubation followed by CO2-C evolution and capture at 50% water-filled pore space.,50% water-filled pore space,m/v,7 Days,Electrical Conductivity,ELECTRICAL_CONDUCTIVITY,MEASURED,mg/kg,mg1kg-1,OFFICIAL,SUPERSEDED,Soil Health Institute,"Zibilske, 1994"
L_MODV2_SOIL_STCM_012,SOIL,short-term carbon mineralization,STCM,Incubation,INCUBATION,7-day incubation followed by CO2-C evolution and capture at 50% water-filled pore space.,50% water-filled pore space,m/v,7 Days,Infrared gas analyzer( IRGA),IRGA,MEASURED,mg/kg,mg1kg-1,OFFICIAL,SUPERSEDED,Soil Health Institute,"Zibilske, 1994"
L_MODV2_SOIL_STCM_013,SOIL,short-term carbon mineralization,STCM,Incubation,INCUBATION,7-day incubation followed by CO2-C evolution and capture at 50% water-filled pore space.,50% water-filled pore space,m/v,7 Days,Titration,TITRATION,MEASURED,mg/kg,mg1kg-1,OFFICIAL,SUPERSEDED,Soil Health Institute,"Zibilske, 1994"
L_MODV2_SOIL_SI_001,SOIL,silicon,SI,Acetic Acid,ACETIC_ACID,0.5 M Acetic Acid,01:02.5,m/v,"Stand for 20 hr, shake for 50 min",ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,NECC-1812,"Recommended Soil Testing Procedures for the Northeastern United States, NECC-1812 Publication No. 493, 3rd Edition, 2011, Chapter 12."
L_MODV2_SOIL_SI_002,SOIL,silicon,SI,Calcium Chloride,CALCIUM_CHLORIDE,0.01 M CaCl2,1:10,m/v,120 min,ICP-MS,ICP-MS,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,WEPAL,"Houba, V.J.G.; Novozamsky, I.; Lexmond, T.M.; Van der Lee, J.J., 2008.  Applicability of 0.01 M CaCl2 as a single extraction solution for the assessment of the nutrient status of soils and other diagnostic purposes. Communications in Soil Science and Plant Analysis, Volume 21, 1990 - Issue 19-20."
L_MODV2_SOIL_SI_003,SOIL,silicon,SI,Calcium Chloride,CALCIUM_CHLORIDE,0.01 M CaCl2,1:10,m/v,120 min,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,WEPAL,"Houba, V.J.G.; Novozamsky, I.; Lexmond, T.M.; Van der Lee, J.J., 2008.  Applicability of 0.01 M CaCl2 as a single extraction solution for the assessment of the nutrient status of soils and other diagnostic purposes. Communications in Soil Science and Plant Analysis, Volume 21, 1990 - Issue 19-20."
L_MODV2_SOIL_SI_004,SOIL,silicon,SI,Potassium Chloride,POTASSIUM_CHLORIDE,1.0 N KCl,,,,ICP,ICP,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_SI_005,SOIL,silicon,SI,Saturated paste,SATURATED_PASTE,"Soil saturated with DI water, subsequent extraction and retained for analysis",Saturated paste,m/m,4 hrs,ICP-OES,ICP-OES,MEASURED,mg/L,mg1L-1,EXPERIMENTAL,VALID,USDA,"US Salinity Staff, 1954. L.A Richards (ed.) Diagnosis and improvement of saline alkali soils. 160 p.  USDA Handb. 60 US Govt. Print Office, Washington DC."
L_MODV2_SOIL_SI_006,SOIL,silicon,SI,Sulfuric Acid,SULFURIC_ACID,0.005 M H2SO4,,m/v,,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,VALID,,
L_MODV2_SOIL_SILT_001,SOIL,silt,SILT,Sodium Hexametaphosphate Solution / Electrical Mixer,SODIUM_HEXAMETAPHOSPHATE_SOLUTION_ELECTRICAL_MIXER,Dispersion / Sieve / Weigh,1:20 (varies),m/m, ,Gravimetric,GRAVIMETRIC,CALCULATION,%,prcnt,OFFICIAL,VALID,SSSA,"Methods of Soil Analysis: Part 4 Physical Methods, 5.4.  Gee and Or, 2002.  Chapter 2.4. Particle-Size Analysis, pages 265-269."
L_MODV2_SOIL_SILT_002,SOIL,silt,SILT,Sodium Hexametaphosphate Solution / Electrical Mixer,SODIUM_HEXAMETAPHOSPHATE_SOLUTION_ELECTRICAL_MIXER,Dispersion / Laser Diffraction,1:20 (varies),m/m,5 min,Diffraction,DIFFRACTION,MEASURED,%,prcnt,PROVISIONAL,VALID,SSSA,"Methods of Soil Analysis: Part 4 Physical Methods, 5.4.  Gee and Or, 2002.  Chapter 2.4. Particle-Size Analysis, pages 286-288."
L_MODV2_SOIL_SILT_003,SOIL,silt,SILT,Sodium Hexametaphosphate Solution / Electrical Mixer,SODIUM_HEXAMETAPHOSPHATE_SOLUTION_ELECTRICAL_MIXER,Dispersion / Sedimentation / Hydrometer,1:20 (varies),m/m,5 min,Hydrometer,HYDROMETER,MEASURED,%,prcnt,OFFICIAL,VALID,SSSA,"Methods of Soil Analysis: Part 4 Physical Methods, 5.4.  Gee and Or, 2002.  Chapter 2.4. Particle-Size Analysis, pages 278-283."
L_MODV2_SOIL_SILT_004,SOIL,silt,SILT,Sodium Hexametaphosphate Solution / Electrical Mixer,SODIUM_HEXAMETAPHOSPHATE_SOLUTION_ELECTRICAL_MIXER,Dispersion / Sedimentation / Pipette / Weigh,1:20 (varies),m/m,5 min,Gravimetric,GRAVIMETRIC,MEASURED,%,prcnt,OFFICIAL,VALID,SSSA,"Methods of Soil Analysis: Part 4 Physical Methods, 5.4.  Gee and Or, 2002.  Chapter 2.4. Particle-Size Analysis, pages 272-278."
L_MODV2_SOIL_SILTCLAY_001,SOIL,silt+clay,SILTCLAY,Calculation,CALCULATION,Calculation,1:20 (varies),Calculation,Calculation,Gravimetric,GRAVIMETRIC,CALCULATION,%,prcnt,OFFICIAL,VALID,USDA,"USDA, U.S. Department of Agriculture (Soil Survey Staff, 1975);"
L_MODV2_SOIL_AG_001,SOIL,silver,AG,EPA 3050,EPA_3050,"EPA 3050 Digestion (Nitric Acid, Hydrogen Peroxide), EPA 6010B Determination (ICP-OES)",1:15 (varies),m/v,"Heat to 95C, reflux for 15 minutes, cool, then add 5 mL HNO3 and reflux for 30 minutes. Repeat last step as required.",ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,"U.S. EPA. 1996. “Method 3050B: Acid Digestion of Sediments, Sludges, and Soils,” Revision 2. Washington, DC. / EPA Method 3050B (SW-846): Acid Digestion of Sediments, Sludges, and Soils, 1996."
